0,SMART_EVENT_UPDATE_IC,Occurs while the creature is in combat.
40,SMART_EVENT_WAYPOINT_REACHED,When we reach a waypoint.
num,Point id (0 any),0
num,Path id (0 any),0
52,SMART_EVENT_TEXT_OVER,When the creature finishes saying a certain line.
num,Group id (creature_text),0
num,Creature entry (0 any),ENTRY
53,SMART_EVENT_RECEIVE_HEAL,When the creature gets healed for a certain amount.
num,Min heal to be taken to trigger,0
num,Max heal.,0
num,min cooldown to this event.,0
num,max cooldown to this event. (random between those if different from min),0
54,SMART_EVENT_JUST_SUMMONED,When the creature gets summoned.
55,SMART_EVENT_WAYPOINT_PAUSED,When the waypoint movement gets paused.
num,Point id (0 any),0
num,Path id (0 any),0
56,SMART_EVENT_WAYPOINT_RESUMED,When the waypoint movement is resumed.
num,Point id (0 any),0
num,Path id (0 any),0
57,SMART_EVENT_WAYPOINT_STOPPED,When the waypoint movement is stopped.
num,Point id (0 any),0
num,Path id (0 any),0
58,SMART_EVENT_WAYPOINT_ENDED,When the waypoint movement finishes.
num,Point id (0 any),0
num,Path id (0 any),0
60,SMART_EVENT_UPDATE,Repeat without particular checks seconds.
num,ms after the event will trigger initially.,0
num,it should be >= than the previous. It adds a random behaviour if different.,0
num,ms after the event will be repeated.,0
num,it should be >= than the previous. It adds a random behaviour if different.,0
61,SMART_EVENT_LINK,After another action is completed.
num,Action id.,0
62,SMART_EVENT_GOSSIP_SELECT,When a gossip is selected.
num,Gossip menu id.,0
num,Gossip item id.,0
64,SMART_EVENT_GOSSIP_HELLO,When we speak with the creature (On Right-Click creature that have gossip enabled.) 
65,SMART_EVENT_FOLLOW_COMPLETED,When a follow (see actions) ends.
67,SMART_EVENT_IS_BEHIND_TARGET,When the creature is behind our target.
num,ms after the event will be repeated.,0
num,it should be >= than the previous. It adds a random behaviour if different.,0
74,SMART_EVENT_FRIENDLY_HEALTH_PCT,When a friendly unit has some percentage of health.
num,min health % to trigger the event.,0
num,max health % to trigger the event.,0
num,ms after the event will be repeated.,0
num,it should be >= than the previous. It adds a random behaviour if different.,0
75,SMART_EVENT_DISTANCE_CREATURE,When a creature is in range.
num,Creature GUID (not necessary if you specify an entry).,0
num,Creature Entry (not necessary if you specify a GUID).,ENTRY
num,Distance.,0
num,Timer to repeat in ms.,0
76,SMART_EVENT_DISTANCE_GAMEOBJECT,When a gameobject is in range.
num,Creature GUID (not necessary if you specify an entry).,0
num,Creature Entry (not necessary if you specify a GUID).,GO_ENTRY
num,Distance.,0
num,Timer to repeat in ms.,0
